Label1,label 2,Label3,label 4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10,1,1,2,-3.453111652,0.110061907,-0.172117413,0.541867462,0.914906672,-1.205665802,0.719196143,-0.982588538,0.781016809,-0.045482976,0.103995056,0.809970139,0.046059027,0.621806178,0.538783777,0.419177441,0.170461926,-0.141974489,-0.062324051,-0.022715494,0.220942978,-0.154531968,0.108910751,-0.121333918,-0.13383307
10,2,1,2,-3.148455479,0.54146001,0.03539248,0.505957263,1.378823417,-0.510250411,0.933790989,-0.374225279,0.34117445,-0.465595077,-0.471242026,0.356611015,0.510649412,0.580179447,0.723099657,-0.589430666,0.191763368,0.604070534,0.572434103,0.081732665,0.188160373,-0.415111912,-0.02705507,0.30618262,0.094460481
10,3,1,2,-3.51291709,0.65930281,-0.126976129,1.373771804,0.494700309,-1.603305614,-1.358031914,-0.481684038,0.370338569,-0.271878418,0.249857184,1.212163414,-1.227711923,0.628726675,0.325431324,0.548833823,0.039044859,0.268090021,-0.978190333,-0.231701554,-0.295533561,0.222587727,0.169545049,0.335080663,0.076141388
10,4,1,2,-3.999555432,0.434785443,-0.230427594,0.902635167,0.233177859,-1.603800838,-0.014266951,-1.382079155,0.331110031,-0.18758929,0.162969525,1.407925249,-0.316777658,0.695806467,0.762662082,0.622470833,0.388624773,0.332156515,-0.360740875,-0.276914975,0.178504207,-0.035212059,0.050057625,-0.122954047,-0.018542278
10,5,1,2,-1.218161026,2.530764695,0.880670302,1.019064224,0.209280891,-0.588110732,-0.504786639,-0.422656121,-0.102302912,-0.58817706,0.427722621,0.643545387,-0.50273225,0.127448751,0.286384852,0.065216471,-0.107352286,-0.370738208,-0.285087479,0.2665881,-0.109418487,0.342492563,0.437293804,-0.322557933,-0.245550727
11,1,1,2,-3.325355502,0.439345442,0.574493693,0.0404879,0.087631568,-0.419596391,0.704032295,-0.176287062,0.621217325,-0.781324073,0.086053782,0.038644508,0.422431168,0.386676785,-0.544060798,0.366417287,0.102570314,-0.01178129,0.333527655,0.363834808,-0.118788244,-0.027389679,0.035719131,-0.120067997,0.055722583
11,2,1,2,-2.868731225,0.803109778,1.129829417,0.037452816,0.340194842,-0.723668338,1.362871581,-0.110024901,2.854713245,-0.505313652,0.366946718,-0.255718955,0.111465772,0.564357784,-1.159947858,0.919349942,-0.311493185,-0.264273836,0.068996262,0.352622649,-0.248029005,-0.109053849,-0.12412145,-0.041492029,0.151193038
11,3,1,2,-0.98469571,2.866677816,1.488699248,0.605349805,0.844796845,0.005930878,0.368360489,-0.062478412,0.170517664,-0.766677014,0.128786778,0.170749654,0.443073528,0.356161191,0.416234248,-0.424734083,-0.386083656,0.325323717,-0.131443377,0.502043747,0.251107455,-0.020717454,0.344195137,0.048554942,0.285498298
11,4,1,2,-0.109008289,-2.087153628,-0.847365104,-1.019009516,-0.582386626,-0.856769843,0.879501059,-0.496703248,0.730650492,0.644560444,-0.251649544,-0.489964181,-0.107616975,0.508245662,-0.404582456,0.038120481,-0.59968206,-0.1868929,0.134582626,0.046117525,-0.18602933,-0.026006301,-0.098152772,-0.186896913,-0.117872095
13,1,1,2,-0.321899127,-0.180583881,-0.664371897,0.618640583,2.891437796,-0.668207639,0.1460895,0.386866152,-0.464454792,0.160480304,-0.608483584,0.244849813,0.279221068,0.10403434,0.803873926,-0.487031699,-0.349919138,0.00584,0.02667577,0.088787997,-0.063216712,-0.089709574,0.105783346,0.101378589,-0.155487938
